                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5482,                 2.4676,                   1.52,                0.32284,                0.43368,                 0.3086,                0.15703,                 1.5582,                 3.7711,                  1.635,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.5498,                 1.7261,                 1.5374,                0.15675,                0.25158,                0.09526,                0.03096,                 2.5812,                 10.325,                 3.1678,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.6696,                 1.7763,                 1.6429,                0.17076,                0.43474,                0.17121,                0.06045,                 1.9921,                 12.935,                 2.8023,              0.0019402,              0.0019402,              0.0019402
                      4,                 1.6521,                  1.678,                 1.6184,                0.02391,                0.07895,                0.00916,                 0.0037,                 2.7652,                 15.497,                 2.7406,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.5977,                 1.5831,                 1.5863,                0.59645,                0.60316,                 0.5602,                0.30622,                  1.576,                 2.1457,                 1.6871,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.5265,                 1.4812,                 1.5125,                 0.5803,                0.66842,                 0.6378,                0.34801,                 1.4321,                 1.6382,                 1.5615,               0.001901,               0.001901,               0.001901
                      7,                 1.4727,                 1.4142,                 1.4774,                0.55735,                0.65873,                 0.5661,                0.30795,                 1.5146,                 1.8887,                 1.6289,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.4497,                 1.3851,                 1.4849,                0.53331,                0.63512,                0.59928,                0.36154,                 1.3152,                 1.7767,                 1.4492,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.4277,                 1.3461,                 1.4625,                 0.7272,                0.69307,                0.73169,                0.45536,                 1.3196,                 1.3932,                 1.4646,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.4374,                 1.3715,                 1.4809,                0.63414,                0.62211,                0.67504,                 0.3854,                 1.4245,                 1.4632,                 1.4961,               0.001802,               0.001802,               0.001802
                     11,                 1.3752,                 1.3337,                 1.4456,                0.77556,                0.63789,                0.74104,                0.43492,                 1.4065,                 1.3818,                 1.5316,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.3794,                 1.3116,                 1.4258,                 0.6913,                0.68421,                0.72818,                0.44665,                 1.3116,                 1.3174,                 1.4478,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.3756,                 1.2689,                 1.4336,                0.61773,                0.65263,                0.68972,                0.42379,                 1.2864,                 1.3477,                 1.4339,              0.0017278,              0.0017278,              0.0017278
                     14,                 1.3219,                 1.2393,                 1.4008,                0.62748,                0.76316,                0.72109,                0.42383,                 1.3027,                 1.4198,                 1.4633,               0.001703,               0.001703,               0.001703
                     15,                 1.3265,                 1.2407,                 1.3834,                0.66166,                0.71789,                0.72902,                0.45208,                 1.2871,                 1.3309,                 1.4171,              0.0016783,              0.0016783,              0.0016783
                     16,                 1.3398,                 1.2345,                 1.3987,                0.81314,                0.74211,                0.82234,                0.49857,                 1.3341,                  1.299,                  1.466,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.3436,                 1.2215,                 1.4219,                0.64668,                0.72316,                0.73389,                0.45212,                 1.2834,                  1.246,                 1.3856,              0.0016287,              0.0016287,              0.0016287
                     18,                 1.2637,                 1.1728,                 1.3653,                0.78342,                0.72344,                0.81247,                0.52317,                 1.2282,                 1.0941,                 1.3557,               0.001604,               0.001604,               0.001604
                     19,                 1.3013,                  1.165,                  1.371,                0.77431,                0.72632,                0.79629,                0.49189,                 1.3368,                 1.2213,                  1.428,              0.0015793,              0.0015793,              0.0015793
                     20,                  1.249,                 1.1333,                 1.3637,                0.77129,                0.71368,                0.79573,                0.52388,                 1.2056,                  1.234,                 1.3526,              0.0015545,              0.0015545,              0.0015545
                     21,                 1.2667,                 1.1294,                 1.3554,                0.76182,                0.76429,                0.81309,                0.53882,                 1.1539,                 1.0352,                 1.3249,              0.0015298,              0.0015298,              0.0015298
                     22,                 1.2463,                 1.1106,                 1.3366,                0.77825,                0.73474,                0.82275,                 0.5325,                  1.223,                 1.0435,                 1.2987,               0.001505,               0.001505,               0.001505
                     23,                 1.2065,                 1.0888,                 1.3197,                0.86127,                0.73789,                 0.8447,                 0.5552,                 1.2408,                 1.0033,                 1.3514,              0.0014803,              0.0014803,              0.0014803
                     24,                  1.204,                 1.0527,                 1.3162,                 0.8532,                0.74028,                0.83567,                0.56401,                 1.1347,                 1.0104,                 1.3114,              0.0014555,              0.0014555,              0.0014555
                     25,                 1.1941,                 1.0469,                 1.3078,                0.81813,                0.71975,                0.82472,                0.54172,                  1.223,                 1.0306,                 1.3438,              0.0014307,              0.0014307,              0.0014307
                     26,                 1.1899,                 1.0284,                 1.3033,                0.85183,                0.78316,                0.85901,                 0.5993,                  1.079,                 1.0054,                 1.2394,               0.001406,               0.001406,               0.001406
                     27,                 1.2017,                 1.0404,                 1.3313,                0.82434,                0.75577,                 0.8442,                0.55962,                 1.1587,                0.96438,                 1.3081,              0.0013813,              0.0013813,              0.0013813
                     28,                 1.1401,                0.99647,                 1.2881,                0.72753,                0.73922,                0.78544,                0.50941,                 1.1859,                 1.1995,                 1.3505,              0.0013565,              0.0013565,              0.0013565
                     29,                 1.1547,                0.99612,                 1.2909,                0.83356,                0.74333,                0.85565,                0.56037,                 1.1749,                0.98255,                 1.3442,              0.0013318,              0.0013318,              0.0013318
                     30,                 1.1775,                0.99626,                 1.2902,                0.82029,                0.73512,                0.82555,                0.51322,                 1.2857,                 1.1124,                 1.4355,               0.001307,               0.001307,               0.001307
                     31,                 1.1195,                 0.9579,                 1.2674,                0.78811,                0.80105,                0.83676,                0.56947,                 1.0818,                 1.0506,                 1.2652,              0.0012822,              0.0012822,              0.0012822
